Ball_X,Ball_Y,Ball_Z,TCP_X,TCP_Y,TCP_Z,TCP_Rx,TCP_Ry,TCP_Rz
0.06378474086523056,0.23659685254096985,0.4427880048751831,-0.15892725916492376,-0.6833414974312817,-0.17486336014172787,1.7005100017063504,2.4451677182372413,-0.2369879970354811
0.3034019470214844,0.25429567694664,0.4509465992450714,-0.15896533145178476,-0.9325675013115767,-0.17487889042437219,1.7005871792449352,2.4451192078430903,-0.23695826947386514
0.28854501247406006,0.23687240481376648,0.3942016661167145,-0.2117674042486718,-0.9325665581807454,-0.12204938302770307,2.8111579058729177,0.7965895267243979,-0.036457443780634924
0.2997117042541504,0.07532031834125519,0.3954729437828064,-0.09153830991357637,-0.9325629163768236,-0.0017713189904454973,2.8111558279671525,0.7965461445653503,-0.03646142396839379
0.3091435432434082,-0.1235208585858345,0.4049547016620636,0.0561117951049282,-0.9325682611671879,0.1459104461982169,2.81115946154936,0.7964881877323895,-0.03644598039256643
0.3198404312133789,-0.11177457123994827,0.4915890693664551,0.12082672584395188,-0.9325757157483784,0.08125246199873759,1.9435263343499014,1.9791424049386857,0.07028478459671077
0.32306230068206787,-0.1874968558549881,0.4923439025878906,0.1755731197786537,-0.9325730997183289,0.13596757969688036,1.9435601667437794,1.9791689791215599,0.07030634779288697
0.1604018211364746,-0.19219602644443512,0.4903988242149353,0.1755752413282502,-0.7709568262112001,0.13591710060316056,1.9435862104964718,1.9791850595471803,0.07033624818824037
0.026676546782255173,-0.20240181684494019,0.48231109976768494,0.17871498937579744,-0.62907132629218,0.1328677077025058,1.9435160307786177,1.9791563093587774,0.07024922340508549
-0.12119098007678986,-0.20588819682598114,0.4679417908191681,0.17870944371317293,-0.474518614596803,0.13286773538727287,1.9435337687672385,1.9791277206164608,0.07026842359632861
-0.31833332777023315,-0.21664083003997803,0.45420897006988525,0.16824121358486277,-0.2724086984081648,0.1433431886153255,1.9435243948244907,1.979228602164717,0.0703445175925184
-0.3161236047744751,-0.2201053351163864,0.3815983235836029,0.11439320022494714,-0.2724111067090981,0.19719303617556383,1.9435058342218037,1.9791805399636662,0.07034441236830052
-0.07660131901502609,-0.13252009451389313,0.38334107398986816,0.05920529929700253,-0.522236250708503,0.14201594656840433,1.9435079534884596,1.9791725578756902,0.07033141479337433
-0.07485772669315338,-0.10387779772281647,0.37461549043655396,0.041890098230292445,-0.5222299064238929,0.12468589335536223,1.8795664707091746,1.9652112733556781,0.22130969801558312
-0.08438564836978912,0.11970332264900208,0.3678434491157532,-0.1263288556116814,-0.5222456100690753,-0.043549549834194734,1.9706270889039086,2.0969636876060025,0.027820122818637497
-0.07598627358675003,0.05643945932388306,0.2295028418302536,-0.2010264618796776,-0.5222219457991315,0.09439636107075555,-2.103394266157416,-2.30652779169405,0.3525993516655994
0.06954926997423172,0.06430799514055252,0.23821744322776794,-0.20107188213591287,-0.6753647929100207,0.09440670687282438,-2.103453696714206,-2.306449533163638,0.3526476806546801
0.07504602521657944,-0.03249875083565712,0.2476358413696289,-0.12845595245901992,-0.675366765865712,0.1669803186781353,-2.103367084467577,-2.3065470682481393,0.35262914221154373
