Test_ID,Time_s,Phase,World_X,World_Y,World_Z,Force_Mag_N,Force_X_N,Force_Y_N,Force_Z_N,Torque_X_Nm,Torque_Y_Nm,Torque_Z_Nm,TCP_X,TCP_Y,TCP_Z,TCP_Rx,TCP_Ry,TCP_Rz,Rod_Length_m
Run_0615_214945,6.498612642288208,Phase_0_Cal_Plunge,0.15069572022588731,-0.6003660654794212,0.3009633557335413,0.34756436323845596,-0.30683997971283067,0.005620513082741391,-0.16315214762873867,0.0010449630843802954,-0.016487405803684334,-0.015251164011483508,-0.10625526406033053,-0.6003660654794212,0.31937119539536196,-1.75617022032933,-1.7587988847658955,0.7333911976019406,0.16334566119801341
Run_0615_214945,6.600565671920776,Phase_0_Cal_Plunge,0.15072602687072878,-0.6004491702192485,0.29842529040716653,1.9230707067465724,-0.8077883861039113,0.5144246162877113,1.66764689925045,0.018060734399761434,0.0895710895629794,0.0071802313126320605,-0.10443915082287408,-0.6004491702192485,0.3175979422260703,-1.7557639353425547,-1.7589849811929643,0.7333803004688376,0.16334566119801341
Run_0615_214945,6.7023398876190186,Phase_0_Cal_Plunge,0.1507291750736376,-0.6003672428416256,0.2934966575742942,0.3727921957322495,0.07523691530474161,0.2934940790463155,-0.21719726825872843,0.024528185378537813,-0.017096516554305764,-0.0072415947107229975,-0.10095185500914601,-0.6003672428416256,0.314115098643593,-1.7561395242314617,-1.7588255102742159,0.7334029552778507,0.16334566119801341
Run_0615_214945,6.803293466567993,Phase_0_Cal_Plunge,0.15076245619054018,-0.6003843443198916,0.28835870042104617,0.5251857947359058,-0.43697520195844486,0.23200545667936837,0.17619948903660013,0.03061074522549663,0.0212246453823228,-0.013690705714841336,-0.09729523736119114,-0.6003843443198916,0.3105055476025327,-1.7561072921390584,-1.7588630085467778,0.7335077542962533,0.16334566119801341
Run_0615_214945,6.90491509437561,Phase_0_Cal_Plunge,0.15071961055401184,-0.6003658028870064,0.2833433867051708,0.6380145330864739,-0.364337226857628,0.29644440740647265,-0.4317888869258564,0.02171589714412252,-0.009612653553084514,-0.028166792619425146,-0.09377917146305119,-0.6003658028870064,0.30692888882412583,-1.7560589471838273,-1.758863299666298,0.7334024063145441,0.16334566119801341
Run_0615_214945,7.0069732666015625,Phase_0_Cal_Plunge,0.15071105900978776,-0.6003388130832267,0.27830479810818337,0.5970382671145305,-0.14937231583949373,0.554986327760321,-0.16165636287811705,0.01811354345374482,0.0032871346507305516,-0.017513235372583848,-0.09022239815342263,-0.6003388130832267,0.30336002180467636,-1.7561019647981126,-1.7588079026426453,0.7333987903064285,0.16334566119801341
Run_0615_214945,7.108456611633301,Phase_0_Cal_Plunge,0.1507092016365999,-0.6003656566823334,0.27317947953858446,0.38510186351187214,-0.11057903301765039,0.07899380886412949,-0.3603272136521683,0.0229729521377526,-0.030014346414637752,-0.01657557508986117,-0.08659956399829424,-0.6003656566823334,0.2997345609271953,-1.7561750186987701,-1.7587922428657938,0.7334061448860892,0.16334566119801341
Run_0615_214945,7.208651304244995,Phase_0_Cal_Plunge,0.1507389261806642,-0.6003548081065674,0.2682393795398639,0.29229962947253324,-0.2903863612297743,-0.025130421847392417,-0.021984005533190992,0.019912797554826247,0.010405990385697525,-0.011166859258110569,-0.08308536736278373,-0.6003548081065674,0.2962624011450359,-1.7562103516271155,-1.7587541699780793,0.7335382136851526,0.16334566119801341
Run_0615_214945,7.310218811035156,Phase_0_Cal_Plunge,0.15068845217712462,-0.600358202812232,0.26305694973264027,0.43670015148988367,-0.4019205233782759,0.10006815518445822,0.1383953738988384,0.019578694981170857,-0.001101027190360206,-0.025199367578421047,-0.07945652661324908,-0.600358202812232,0.2925621793751483,-1.7559801719652814,-1.7588524232006524,0.7333394563296255,0.16334566119801341
Run_0615_214945,7.411640167236328,Phase_0_Cal_Plunge,0.15076212648061618,-0.6003680696118584,0.25794405840196005,0.43590250573116796,-0.41621874227582434,0.05676266086240614,-0.11640856245509297,0.01204582260407058,-0.010660064233621461,-0.011980262791756352,-0.07578907088225711,-0.6003680696118584,0.2889989148433525,-1.7560643134657719,-1.758921340800528,0.7334504218369791,0.16334566119801341
