Ball_X,Ball_Y,Ball_Z
0.06601249426603317,0.0031593465246260166,0.4256327748298645
0.06600899994373322,0.0023725773207843304,0.4256102740764618
0.06602968275547028,0.003947017714381218,0.42574360966682434
0.0686100572347641,0.00869597215205431,0.4271121025085449
0.06603096425533295,0.003160230815410614,0.4257518947124481
0.06605003029108047,0.0015869608614593744,0.425874799489975
0.06607557833194733,0.0031623656395822763,0.42603951692581177
0.0660831406712532,0.0023752423003315926,0.4260883331298828
0.06607764959335327,0.0031624650582671165,0.42605289816856384
0.06785644590854645,0.008700557984411716,0.4273373484611511
0.06776665896177292,0.0055340491235256195,0.4267719089984894
0.06609484553337097,0.003950912971049547,0.42616376280784607
0.06610642373561859,0.00158831593580544,0.42623841762542725
0.06610128283500671,0.003163596149533987,0.42620527744293213
0.06530094146728516,0.002375434385612607,0.426122784614563
0.0653182715177536,0.0015883063897490501,0.4262358844280243
0.06533316522836685,0.0015886685578152537,0.42633306980133057
0.0652204379439354,0.0007993488688953221,0.4255974292755127
0.0651969388127327,1.2765777682943735e-05,0.4254441261291504
0.06519997864961624,0.0015854298835620284,0.4254639446735382
0.06439349800348282,1.2762379810737912e-05,0.42533087730407715
0.06441380083560944,1.2766403415298555e-05,0.4254649877548218
0.06521502137184143,0.0007992825121618807,0.4255621135234833
0.06441526859998703,0.0007991183083504438,0.4254746735095978
0.06441642343997955,1.276692364626797e-05,0.42548230290412903
0.06522341817617416,0.0007993853650987148,0.42561689019203186
0.06521138548851013,0.0007992379833012819,0.42553839087486267
0.06522071361541748,0.0007993522449396551,0.42559924721717834
0.06442634016275406,1.27688890643185e-05,0.4255478084087372
0.06520482152700424,1.2767322004947346e-05,0.42549556493759155
0.06521253287792206,1.2768829947162885e-05,0.425545871257782
0.06443751603364944,1.277110459341202e-05,0.4256216287612915
0.0652577355504036,1.2777682059095241e-05,0.4258408546447754
0.0644204244017601,0.0007991822203621268,0.4255087077617645
0.0652032345533371,0.0007991380407474935,0.42548519372940063
0.06439562886953354,1.2762801816279534e-05,0.42534494400024414
0.06441693007946014,-0.0007736048428341746,0.42548564076423645
0.06438978016376495,1.2761641301040072e-05,0.4253062903881073
0.06437745690345764,0.0007986492710188031,0.4252249598503113
0.06519465148448944,0.0031578356865793467,0.42542922496795654
0.06440470367670059,0.0007989871664904058,0.4254048764705658
0.06438874453306198,-0.000773266248870641,0.42529943585395813
0.06442347168922424,0.0015856717946007848,0.4255288541316986
0.06441812962293625,0.0007991537568159401,0.4254935681819916
0.06440335512161255,0.0015851766802370548,0.42539599537849426
0.06440997123718262,0.0007990525336936116,0.42543965578079224
0.06441769003868103,0.0007991483435034752,0.42549067735671997
0.06440882384777069,0.0007990383892320096,0.42543214559555054
0.06361164152622223,0.0007989013101905584,0.42535915970802307
0.06442708522081375,1.2769038221449591e-05,0.42555275559425354
0.06522510945796967,0.0007994061452336609,0.4256279468536377
0.06440770626068115,0.0007990244776010513,0.425424724817276
0.06441378593444824,0.0007990998565219343,0.4254648685455322
0.06363973021507263,0.000799254106823355,0.4255470037460327
0.06363075971603394,0.0007991414167918265,0.4254869818687439
0.06444170325994492,1.2771934052580036e-05,0.4256492853164673
0.06367026269435883,-0.00077408755896613,0.4257511496543884
0.06364493072032928,1.2769907698384486e-05,0.42558175325393677
0.06446776539087296,1.2777099072991405e-05,0.4258214235305786
0.06448106467723846,-0.0007743750466033816,0.42590928077697754
0.06446816772222519,-0.001561217475682497,0.4258240759372711
0.06446832418441772,1.2777208212355617e-05,0.4258250892162323
0.06448163092136383,0.000799941539298743,0.425913006067276
0.06451527774333954,1.278651507163886e-05,0.42613524198532104
0.06452292203903198,1.2788030289812014e-05,0.4261857271194458
0.06462237238883972,1.2807739949494135e-05,0.426842600107193
0.06457812339067459,0.0008011386380530894,0.42655035853385925
0.06466146558523178,1.281548884435324e-05,0.4271008372306824
0.06456407904624939,0.0008009644225239754,0.42645761370658875
0.06455888599157333,0.0008008999284356833,0.4264232814311981
0.0645408034324646,0.0015885595930740237,0.42630383372306824
0.06455650180578232,0.0015889459755271673,0.42640751600265503
0.0645522028207779,0.002376863267272711,0.42637911438941956
0.06535188853740692,0.002377287484705448,0.42645522952079773
0.06450910121202469,0.002375276293605566,0.4260944426059723
0.06450867652893066,0.0031627528369426727,0.42609167098999023
0.06447429209947586,0.0015869226772338152,0.4258645474910736
0.06530532240867615,0.003163195913657546,0.4261513650417328
0.06530914455652237,0.002375733107328415,0.4261763393878937
0.06706453114748001,0.009490052238106728,0.4273238182067871
0.06712419539690018,0.0102889658883214,0.42770397663116455
0.06706976145505905,0.00870096031576395,0.42735713720321655
0.06535454094409943,0.003165579866617918,0.426472544670105
0.06458532810211182,0.0008012279868125916,0.4265979528427124
0.06377328187227249,0.0015890670474618673,0.42644003033638
0.06456419080495834,0.001589135266840458,0.42645832896232605
0.06453976780176163,0.0015885340981185436,0.42629700899124146
0.0637294352054596,1.2786861589120235e-05,0.4261467754840851
0.06454389542341232,0.0008007140131667256,0.4263242781162262
0.06450682878494263,0.0008002541144378483,0.4260794520378113
0.0645073801279068,0.0015877370024099946,0.4260830879211426
0.06452026218175888,0.0015880540013313293,0.42616817355155945
0.06373681873083115,-0.0007748967036604881,0.4261961877346039
0.0637742280960083,1.2795850125257857e-05,0.4264463484287262
0.06456258893013,0.0008009459706954658,0.4264477789402008
0.06459856778383255,1.280302330997074e-05,0.4266853928565979
0.06378887593746185,1.2798788702639285e-05,0.42654427886009216
0.06462176889181137,0.0008016800857149065,0.4268386662006378
0.0646272674202919,0.0008017482468858361,0.42687493562698364
0.06460312753915787,0.0008014487684704363,0.4267154932022095
0.06379758566617966,0.0015896727563813329,0.4266025424003601
0.06461548805236816,1.2806377526430879e-05,0.42679718136787415
0.06462927162647247,0.0008017731597647071,0.42688819766044617
0.0637875348329544,0.0008011103491298854,0.42653530836105347
0.06455545872449875,0.0015889204805716872,0.42640066146850586
0.06371563673019409,0.0008002073736861348,0.42605453729629517
0.0645560547709465,1.2794597751053516e-05,0.42640459537506104
0.06451748311519623,0.001587985665537417,0.42614981532096863
0.06455105543136597,0.0008008028962649405,0.42637160420417786
0.06456906348466873,0.0008010262390598655,0.42649054527282715
0.06454752385616302,0.0015887251356616616,0.4263482689857483
0.06455432623624802,0.0015888925408944488,0.42639318108558655
0.06454035639762878,0.001588548650033772,0.42630088329315186
0.0645439401268959,0.001588636776432395,0.4263245463371277
0.06375733017921448,0.0008007310098037124,0.42633333802223206
0.06375332921743393,0.000800680834800005,0.4263066351413727
0.06454107910394669,0.0015885664615780115,0.4263056814670563
0.06375771015882492,0.0008007358410395682,0.4263359010219574
0.06375929713249207,0.0015887184999883175,0.42634648084640503
0.06377270817756653,0.0015890526119619608,0.4264361560344696
0.06462346017360687,0.0008017009822651744,0.4268497824668884
0.06463354825973511,0.0015908422647044063,0.4269164204597473
0.06463166326284409,0.0008018029038794339,0.42690402269363403
0.06463591754436493,0.0008018555236048996,0.42693206667900085
0.06376907229423523,0.000800878566224128,0.426411896944046
0.0646645650267601,1.2816103662771638e-05,0.4271213412284851
0.06464476138353348,0.0008019653614610434,0.4269905388355255
0.06465543061494827,0.0008020976092666388,0.42706096172332764
0.06385207176208496,1.2811468877771404e-05,0.4269668757915497
0.06465413421392441,0.0008020815439522266,0.42705240845680237
0.0646628811955452,0.0008021901594474912,0.4271102249622345
0.06466884166002274,0.0008022639667615294,0.42714953422546387
0.06469933688640594,1.2822995813621674e-05,0.4273509979248047
0.06383626908063889,1.2808299288735725e-05,0.4268612265586853
0.06462784856557846,0.0008017555228434503,0.42687880992889404
0.06375069171190262,1.279112711927155e-05,0.4262889623641968
0.06453388929367065,0.0008005899144336581,0.4262582063674927
0.06372740864753723,1.2786455044988543e-05,0.42613324522972107
0.0645044669508934,0.0008002248941920698,0.4260638654232025
0.06367926299571991,0.0007997505599632859,0.4258113205432892
0.06368952244520187,0.0007998794317245483,0.42587992548942566
0.0644671693444252,0.0007997620850801468,0.42581745982170105
0.06525317579507828,0.0007997501525096595,0.42581111192703247
0.06446950882673264,0.0015868049813434482,0.42583295702934265
0.0652574747800827,0.0015868281479924917,0.4258391857147217
0.06444858014583588,0.001586289843544364,0.4256947338581085
0.0652596578001976,0.0023739326279610395,0.4258533716201782
0.06528358161449432,0.0015874628443270922,0.42600950598716736
0.06447749584913254,0.001587001490406692,0.42588570713996887
0.06529593467712402,0.0015877633122727275,0.42609015107154846
0.0645330399274826,0.0008005793206393719,0.4262525737285614
0.06459227204322815,0.0015898265410214663,0.42664381861686707
