x,y,z,reachable,tilt_deg,j3_danger
-0.5,-1.1,-0.2,False,0.0,False
-0.5,-1.1,-0.06666666666666668,False,0.0,False
-0.5,-1.1,0.06666666666666665,False,0.0,False
-0.5,-1.1,0.2,False,0.0,False
-0.5,-1.1,0.3333333333333333,False,0.0,False
-0.5,-1.1,0.4666666666666666,False,0.0,False
-0.5,-1.1,0.6000000000000001,False,0.0,False
-0.5,-1.1,0.7333333333333334,False,0.0,False
-0.5,-1.1,0.8666666666666667,False,0.0,False
-0.5,-1.1,1.0,False,0.0,False
-0.5,-0.9555555555555556,-0.2,False,0.0,False
-0.5,-0.9555555555555556,-0.06666666666666668,False,0.0,False
-0.5,-0.9555555555555556,0.06666666666666665,False,0.0,False
-0.5,-0.9555555555555556,0.2,False,0.0,False
-0.5,-0.9555555555555556,0.3333333333333333,False,0.0,False
-0.5,-0.9555555555555556,0.4666666666666666,False,0.0,False
-0.5,-0.9555555555555556,0.6000000000000001,False,0.0,False
-0.5,-0.9555555555555556,0.7333333333333334,False,0.0,False
-0.5,-0.9555555555555556,0.8666666666666667,False,0.0,False
-0.5,-0.9555555555555556,1.0,False,0.0,False
-0.5,-0.8111111111111111,-0.2,False,0.0,False
-0.5,-0.8111111111111111,-0.06666666666666668,False,0.0,False
-0.5,-0.8111111111111111,0.06666666666666665,False,0.0,False
-0.5,-0.8111111111111111,0.2,False,0.0,False
-0.5,-0.8111111111111111,0.3333333333333333,False,0.0,False
-0.5,-0.8111111111111111,0.4666666666666666,False,0.0,False
-0.5,-0.8111111111111111,0.6000000000000001,False,0.0,False
-0.5,-0.8111111111111111,0.7333333333333334,False,0.0,False
-0.5,-0.8111111111111111,0.8666666666666667,False,0.0,False
-0.5,-0.8111111111111111,1.0,False,0.0,False
-0.5,-0.6666666666666667,-0.2,True,0.0,False
-0.5,-0.6666666666666667,-0.06666666666666668,True,0.0,False
-0.5,-0.6666666666666667,0.06666666666666665,False,0.0,False
-0.5,-0.6666666666666667,0.2,False,0.0,False
-0.5,-0.6666666666666667,0.3333333333333333,False,0.0,False
-0.5,-0.6666666666666667,0.4666666666666666,False,0.0,False
-0.5,-0.6666666666666667,0.6000000000000001,False,0.0,False
-0.5,-0.6666666666666667,0.7333333333333334,False,0.0,False
-0.5,-0.6666666666666667,0.8666666666666667,False,0.0,False
-0.5,-0.6666666666666667,1.0,False,0.0,False
-0.5,-0.5222222222222223,-0.2,True,2.6985190560652365e-05,False
-0.5,-0.5222222222222223,-0.06666666666666668,True,0.0,False
-0.5,-0.5222222222222223,0.06666666666666665,True,3.073585126505775e-05,False
-0.5,-0.5222222222222223,0.2,True,2.699869328381916e-06,False
-0.5,-0.5222222222222223,0.3333333333333333,False,0.0,False
-0.5,-0.5222222222222223,0.4666666666666666,False,0.0,False
-0.5,-0.5222222222222223,0.6000000000000001,False,0.0,False
-0.5,-0.5222222222222223,0.7333333333333334,False,0.0,False
-0.5,-0.5222222222222223,0.8666666666666667,False,0.0,False
-0.5,-0.5222222222222223,1.0,False,0.0,False
-0.5,-0.37777777777777777,-0.2,True,2.01135734931347e-05,False
-0.5,-0.37777777777777777,-0.06666666666666668,True,1.3281600966983096e-05,False
-0.5,-0.37777777777777777,0.06666666666666665,True,0.0,False
-0.5,-0.37777777777777777,0.2,True,0.0,False
-0.5,-0.37777777777777777,0.3333333333333333,True,0.0,False
-0.5,-0.37777777777777777,0.4666666666666666,False,0.0,False
-0.5,-0.37777777777777777,0.6000000000000001,False,0.0,False
-0.5,-0.37777777777777777,0.7333333333333334,False,0.0,False
-0.5,-0.37777777777777777,0.8666666666666667,False,0.0,False
-0.5,-0.37777777777777777,1.0,False,0.0,False
-0.5,-0.2333333333333334,-0.2,True,8.537736462515939e-07,False
-0.5,-0.2333333333333334,-0.06666666666666668,True,1.2074182697257333e-06,False
-0.5,-0.2333333333333334,0.06666666666666665,True,0.0,False
-0.5,-0.2333333333333334,0.2,True,0.0,False
-0.5,-0.2333333333333334,0.3333333333333333,True,0.0,False
-0.5,-0.2333333333333334,0.4666666666666666,True,4.182619578303747e-06,False
-0.5,-0.2333333333333334,0.6000000000000001,False,0.0,False
-0.5,-0.2333333333333334,0.7333333333333334,False,0.0,False
-0.5,-0.2333333333333334,0.8666666666666667,False,0.0,False
-0.5,-0.2333333333333334,1.0,False,0.0,False
-0.5,-0.0888888888888888,-0.2,True,0.0,False
-0.5,-0.0888888888888888,-0.06666666666666668,True,0.00013344839873539658,False
-0.5,-0.0888888888888888,0.06666666666666665,True,0.0,False
-0.5,-0.0888888888888888,0.2,True,0.0,False
-0.5,-0.0888888888888888,0.3333333333333333,True,2.091309789151873e-06,False
-0.5,-0.0888888888888888,0.4666666666666666,True,8.537736462515939e-07,False
-0.5,-0.0888888888888888,0.6000000000000001,False,0.0,False
-0.5,-0.0888888888888888,0.7333333333333334,False,0.0,False
-0.5,-0.0888888888888888,0.8666666666666667,False,0.0,False
-0.5,-0.0888888888888888,1.0,False,0.0,False
-0.5,0.05555555555555558,-0.2,True,1.2074182697257333e-06,False
-0.5,0.05555555555555558,-0.06666666666666668,True,0.0,False
-0.5,0.05555555555555558,0.06666666666666665,True,8.537736462515939e-07,False
-0.5,0.05555555555555558,0.2,True,0.0,False
-0.5,0.05555555555555558,0.3333333333333333,True,0.0,False
-0.5,0.05555555555555558,0.4666666666666666,True,0.0,False
-0.5,0.05555555555555558,0.6000000000000001,False,0.0,False
-0.5,0.05555555555555558,0.7333333333333334,False,0.0,False
-0.5,0.05555555555555558,0.8666666666666667,False,0.0,False
-0.5,0.05555555555555558,1.0,False,0.0,False
-0.5,0.2,-0.2,True,0.0,False
-0.5,0.2,-0.06666666666666668,True,2.4148365394514667e-06,False
-0.5,0.2,0.06666666666666665,True,0.0,False
-0.5,0.2,0.2,True,0.0,False
-0.5,0.2,0.3333333333333333,True,1.7139386334714558e-05,False
-0.5,0.2,0.4666666666666666,True,2.1917219265300093e-05,False
-0.5,0.2,0.6000000000000001,False,0.0,False
-0.5,0.2,0.7333333333333334,False,0.0,False
-0.5,0.2,0.8666666666666667,False,0.0,False
-0.5,0.2,1.0,False,0.0,False
-0.33333333333333337,-1.1,-0.2,False,0.0,False
-0.33333333333333337,-1.1,-0.06666666666666668,False,0.0,False
-0.33333333333333337,-1.1,0.06666666666666665,False,0.0,False
-0.33333333333333337,-1.1,0.2,False,0.0,False
-0.33333333333333337,-1.1,0.3333333333333333,False,0.0,False
-0.33333333333333337,-1.1,0.4666666666666666,False,0.0,False
-0.33333333333333337,-1.1,0.6000000000000001,False,0.0,False
-0.33333333333333337,-1.1,0.7333333333333334,False,0.0,False
-0.33333333333333337,-1.1,0.8666666666666667,False,0.0,False
-0.33333333333333337,-1.1,1.0,False,0.0,False
-0.33333333333333337,-0.9555555555555556,-0.2,False,0.0,False
-0.33333333333333337,-0.9555555555555556,-0.06666666666666668,False,0.0,False
-0.33333333333333337,-0.9555555555555556,0.06666666666666665,False,0.0,False
-0.33333333333333337,-0.9555555555555556,0.2,False,0.0,False
-0.33333333333333337,-0.9555555555555556,0.3333333333333333,False,0.0,False
-0.33333333333333337,-0.9555555555555556,0.4666666666666666,False,0.0,False
-0.33333333333333337,-0.9555555555555556,0.6000000000000001,False,0.0,False
-0.33333333333333337,-0.9555555555555556,0.7333333333333334,False,0.0,False
-0.33333333333333337,-0.9555555555555556,0.8666666666666667,False,0.0,False
-0.33333333333333337,-0.9555555555555556,1.0,False,0.0,False
-0.33333333333333337,-0.8111111111111111,-0.2,False,0.0,False
-0.33333333333333337,-0.8111111111111111,-0.06666666666666668,False,0.0,False
-0.33333333333333337,-0.8111111111111111,0.06666666666666665,False,0.0,False
-0.33333333333333337,-0.8111111111111111,0.2,False,0.0,False
-0.33333333333333337,-0.8111111111111111,0.3333333333333333,False,0.0,False
-0.33333333333333337,-0.8111111111111111,0.4666666666666666,False,0.0,False
-0.33333333333333337,-0.8111111111111111,0.6000000000000001,False,0.0,False
-0.33333333333333337,-0.8111111111111111,0.7333333333333334,False,0.0,False
-0.33333333333333337,-0.8111111111111111,0.8666666666666667,False,0.0,False
-0.33333333333333337,-0.8111111111111111,1.0,False,0.0,False
-0.33333333333333337,-0.6666666666666667,-0.2,True,2.080826967304219e-05,False
-0.33333333333333337,-0.6666666666666667,-0.06666666666666668,True,8.537736462515939e-07,False
-0.33333333333333337,-0.6666666666666667,0.06666666666666665,True,0.0,False
-0.33333333333333337,-0.6666666666666667,0.2,True,2.2588727439225506e-06,False
-0.33333333333333337,-0.6666666666666667,0.3333333333333333,False,0.0,False
-0.33333333333333337,-0.6666666666666667,0.4666666666666666,False,0.0,False
-0.33333333333333337,-0.6666666666666667,0.6000000000000001,False,0.0,False
-0.33333333333333337,-0.6666666666666667,0.7333333333333334,False,0.0,False
-0.33333333333333337,-0.6666666666666667,0.8666666666666667,False,0.0,False
-0.33333333333333337,-0.6666666666666667,1.0,False,0.0,False
-0.33333333333333337,-0.5222222222222223,-0.2,True,0.0,False
-0.33333333333333337,-0.5222222222222223,-0.06666666666666668,True,0.0,False
-0.33333333333333337,-0.5222222222222223,0.06666666666666665,True,6.445849674396954e-06,False
-0.33333333333333337,-0.5222222222222223,0.2,True,0.0,False
-0.33333333333333337,-0.5222222222222223,0.3333333333333333,True,0.0,False
-0.33333333333333337,-0.5222222222222223,0.4666666666666666,False,0.0,False
-0.33333333333333337,-0.5222222222222223,0.6000000000000001,False,0.0,False
-0.33333333333333337,-0.5222222222222223,0.7333333333333334,False,0.0,False
-0.33333333333333337,-0.5222222222222223,0.8666666666666667,False,0.0,False
-0.33333333333333337,-0.5222222222222223,1.0,False,0.0,False
-0.33333333333333337,-0.37777777777777777,-0.2,True,0.0,False
-0.33333333333333337,-0.37777777777777777,-0.06666666666666668,True,8.537736462515939e-07,False
-0.33333333333333337,-0.37777777777777777,0.06666666666666665,True,0.0,False
-0.33333333333333337,-0.37777777777777777,0.2,True,0.0,False
-0.33333333333333337,-0.37777777777777777,0.3333333333333333,True,0.0,False
-0.33333333333333337,-0.37777777777777777,0.4666666666666666,True,2.2588727439225506e-06,False
-0.33333333333333337,-0.37777777777777777,0.6000000000000001,False,0.0,False
-0.33333333333333337,-0.37777777777777777,0.7333333333333334,False,0.0,False
-0.33333333333333337,-0.37777777777777777,0.8666666666666667,False,0.0,False
-0.33333333333333337,-0.37777777777777777,1.0,False,0.0,False
-0.33333333333333337,-0.2333333333333334,-0.2,True,8.537736462515939e-07,False
-0.33333333333333337,-0.2333333333333334,-0.06666666666666668,True,8.537736462515939e-07,False
-0.33333333333333337,-0.2333333333333334,0.06666666666666665,True,8.537736462515939e-07,False
-0.33333333333333337,-0.2333333333333334,0.2,True,8.537736462515939e-07,False
-0.33333333333333337,-0.2333333333333334,0.3333333333333333,True,0.0,False
-0.33333333333333337,-0.2333333333333334,0.4666666666666666,True,2.091309789151873e-06,False
-0.33333333333333337,-0.2333333333333334,0.6000000000000001,False,0.0,False
-0.33333333333333337,-0.2333333333333334,0.7333333333333334,False,0.0,False
-0.33333333333333337,-0.2333333333333334,0.8666666666666667,False,0.0,False
-0.33333333333333337,-0.2333333333333334,1.0,False,0.0,False
-0.33333333333333337,-0.0888888888888888,-0.2,True,8.537736462515939e-07,False
-0.33333333333333337,-0.0888888888888888,-0.06666666666666668,True,4.473969422768507e-05,False
-0.33333333333333337,-0.0888888888888888,0.06666666666666665,True,1.3976876963794299e-05,False
-0.33333333333333337,-0.0888888888888888,0.2,True,0.0,False
-0.33333333333333337,-0.0888888888888888,0.3333333333333333,True,8.537736462515939e-07,False
-0.33333333333333337,-0.0888888888888888,0.4666666666666666,True,4.7536104815230715e-06,False
-0.33333333333333337,-0.0888888888888888,0.6000000000000001,True,8.537736462515939e-07,False
-0.33333333333333337,-0.0888888888888888,0.7333333333333334,False,0.0,False
-0.33333333333333337,-0.0888888888888888,0.8666666666666667,False,0.0,False
-0.33333333333333337,-0.0888888888888888,1.0,False,0.0,False
-0.33333333333333337,0.05555555555555558,-0.2,True,8.537736462515939e-07,False
-0.33333333333333337,0.05555555555555558,-0.06666666666666668,True,1.1390761175093017e-05,False
-0.33333333333333337,0.05555555555555558,0.06666666666666665,True,0.0,False
-0.33333333333333337,0.05555555555555558,0.2,True,0.0,False
-0.33333333333333337,0.05555555555555558,0.3333333333333333,True,0.0,False
-0.33333333333333337,0.05555555555555558,0.4666666666666666,True,1.4713668590566475e-05,False
-0.33333333333333337,0.05555555555555558,0.6000000000000001,True,0.0,False
-0.33333333333333337,0.05555555555555558,0.7333333333333334,False,0.0,False
-0.33333333333333337,0.05555555555555558,0.8666666666666667,False,0.0,False
-0.33333333333333337,0.05555555555555558,1.0,False,0.0,False
-0.33333333333333337,0.2,-0.2,True,1.2074182697257333e-06,False
-0.33333333333333337,0.2,-0.06666666666666668,True,1.7075472925031877e-06,False
-0.33333333333333337,0.2,0.06666666666666665,True,8.537736462515939e-07,False
-0.33333333333333337,0.2,0.2,True,8.537736462515939e-07,False
-0.33333333333333337,0.2,0.3333333333333333,True,0.0,False
-0.33333333333333337,0.2,0.4666666666666666,True,8.537736462515939e-07,False
-0.33333333333333337,0.2,0.6000000000000001,False,0.0,False
-0.33333333333333337,0.2,0.7333333333333334,False,0.0,False
-0.33333333333333337,0.2,0.8666666666666667,False,0.0,False
-0.33333333333333337,0.2,1.0,False,0.0,False
-0.16666666666666669,-1.1,-0.2,False,0.0,False
-0.16666666666666669,-1.1,-0.06666666666666668,False,0.0,False
-0.16666666666666669,-1.1,0.06666666666666665,False,0.0,False
-0.16666666666666669,-1.1,0.2,False,0.0,False
-0.16666666666666669,-1.1,0.3333333333333333,False,0.0,False
-0.16666666666666669,-1.1,0.4666666666666666,False,0.0,False
-0.16666666666666669,-1.1,0.6000000000000001,False,0.0,False
-0.16666666666666669,-1.1,0.7333333333333334,False,0.0,False
-0.16666666666666669,-1.1,0.8666666666666667,False,0.0,False
-0.16666666666666669,-1.1,1.0,False,0.0,False
-0.16666666666666669,-0.9555555555555556,-0.2,False,0.0,False
-0.16666666666666669,-0.9555555555555556,-0.06666666666666668,False,0.0,False
-0.16666666666666669,-0.9555555555555556,0.06666666666666665,False,0.0,False
-0.16666666666666669,-0.9555555555555556,0.2,False,0.0,False
-0.16666666666666669,-0.9555555555555556,0.3333333333333333,False,0.0,False
-0.16666666666666669,-0.9555555555555556,0.4666666666666666,False,0.0,False
-0.16666666666666669,-0.9555555555555556,0.6000000000000001,False,0.0,False
-0.16666666666666669,-0.9555555555555556,0.7333333333333334,False,0.0,False
-0.16666666666666669,-0.9555555555555556,0.8666666666666667,False,0.0,False
-0.16666666666666669,-0.9555555555555556,1.0,False,0.0,False
-0.16666666666666669,-0.8111111111111111,-0.2,True,8.537736462515939e-07,False
-0.16666666666666669,-0.8111111111111111,-0.06666666666666668,True,0.0,False
-0.16666666666666669,-0.8111111111111111,0.06666666666666665,True,1.4362695820999273e-05,False
-0.16666666666666669,-0.8111111111111111,0.2,False,0.0,False
-0.16666666666666669,-0.8111111111111111,0.3333333333333333,False,0.0,False
-0.16666666666666669,-0.8111111111111111,0.4666666666666666,False,0.0,False
-0.16666666666666669,-0.8111111111111111,0.6000000000000001,False,0.0,False
-0.16666666666666669,-0.8111111111111111,0.7333333333333334,False,0.0,False
-0.16666666666666669,-0.8111111111111111,0.8666666666666667,False,0.0,False
-0.16666666666666669,-0.8111111111111111,1.0,False,0.0,False
