Time_s,Phase,World_X,World_Y,World_Z,Force_Mag_N,Force_X_N,Force_Y_N,Force_Z_N,Torque_X_Nm,Torque_Y_Nm,Torque_Z_Nm,TCP_X,TCP_Y,TCP_Z,TCP_Rx,TCP_Ry,TCP_Rz,Rod_Length_m
5.964228868484497,Phase_0_Cal_Plunge,0.1007239335609144,-0.5981650848109512,0.30094999664312844,0.5694940405793871,-0.2044472756801917,-0.4486114824754233,0.28508334134703006,0.001390956542822045,0.008933519172261348,0.0060546611621055055,-0.14158120697571894,-0.5981650848109512,0.2840263598731307,-1.7559019046199038,-1.759184966362423,0.7331876654434283,0.19185923498265078
6.064867258071899,Phase_0_Cal_Plunge,0.10087280504267734,-0.5982238759386719,0.2985861758885289,1.8333724102800846,-0.2623868203500117,-0.48896477285428225,1.7473754611388985,0.034612008876620276,0.111705407629112,0.004456501620472323,-0.13980446525635226,-0.5982238759386719,0.28246015422232373,-1.7557498735335044,-1.7594206477882293,0.7334026458038749,0.19185923498265078
6.1658852100372314,Phase_0_Cal_Plunge,0.10074115821256095,-0.5981646442104595,0.29353178916261197,0.8297031479537844,-0.30836467657912336,-0.5744992625548473,-0.513097590412008,0.028826305496277276,-0.03346721686441554,-0.015016282810537024,-0.13632356249401412,-0.5981646442104595,0.27879307472739157,-1.755897333759838,-1.759236416690919,0.7331173988657128,0.19185923498265078
6.267223596572876,Phase_0_Cal_Plunge,0.10075113285372843,-0.5981724435655705,0.2884718782153023,0.9003933068998103,-0.570602170679392,-0.6538024580820405,0.2401324962012089,0.01280050418799926,0.0244734493736905,0.007113016456374386,-0.132738612014562,-0.5981724435655705,0.2752222305207583,-1.7558104836089043,-1.7592305024226003,0.7332296529651741,0.19185923498265078
6.368352651596069,Phase_0_Cal_Plunge,0.10070523427741673,-0.5981786129407723,0.2835084569041647,0.7503736057379249,-0.5112821575882437,-0.4200688503035692,0.35382660234171587,0.014475244813839803,0.006083154843134424,7.853975373338596e-05,-0.12926139834212758,-0.5981786129407723,0.27168010645921026,-1.755921689993072,-1.759128879178063,0.7331987952507761,0.19185923498265078
6.469208002090454,Phase_0_Cal_Plunge,0.10072338526783227,-0.5981592944977391,0.2784081062065434,0.7943780288468455,-0.3991741011646738,-0.6420719565324098,0.243803388632352,0.017206632867495235,0.010690685211534592,0.005352690374761872,-0.12564207108900194,-0.5981592944977391,0.26808644858290076,-1.755842346728932,-1.759124226093317,0.7332453459180748,0.19185923498265078
6.57011866569519,Phase_0_Cal_Plunge,0.10070635951398776,-0.5981736722625225,0.2733535495264251,0.6431799143831026,-0.1742936613605267,-0.5295279554019274,-0.32078383114373393,0.02225780078334229,-0.0260683651713343,-0.0006648588884473986,-0.1220799988105968,-0.5981736722625225,0.2645002982524991,-1.755865161690548,-1.759199963318053,0.7331338447289099,0.19185923498265078
6.671078205108643,Phase_0_Cal_Plunge,0.10072570469099111,-0.5981766653776348,0.2682833340087108,0.7241848878138855,-0.46416269103303687,-0.38970769047860754,0.3963895356499831,0.010166727740637007,0.015312329176670105,0.0062727536201235045,-0.11848113593010144,-0.5981766653776348,0.26092879358368837,-1.755827563654612,-1.7591912317337315,0.7332090839564908,0.19185923498265078
6.771965980529785,Phase_0_Cal_Plunge,0.1007251273360987,-0.5981831430465478,0.2631829553954478,0.8393691733798517,-0.14632299078254082,-0.8036397756238373,0.1931147395309239,0.019846619750409425,-0.009348173910954102,0.008596225988187102,-0.11487503187760391,-0.5981831430465478,0.2573218730280717,-1.7557019052532985,-1.759311795691839,0.7331160417212316,0.19185923498265078
6.873352527618408,Phase_0_Cal_Plunge,0.10066411736347079,-0.5981802416140353,0.25817693715556117,0.9139791855646464,-0.5273833233866115,-0.7197278507559429,0.19803182245623577,0.018237879684902546,0.016733136196042143,0.023046729018941392,-0.11137838299880172,-0.5981802416140353,0.2537389430185391,-1.7558882431723961,-1.7590671408780758,0.7331525679399368,0.19185923498265078
