Rod_X,Rod_Y,Rod_Z
0.048201076686382294,0.17054112255573273,0.5080323219299316
0.048203811049461365,0.17055080831050873,0.5080611705780029
0.04814552143216133,0.16937647759914398,0.5074467658996582
0.04821522906422615,0.17059119045734406,0.5081814527511597
0.04821933060884476,0.17060571908950806,0.5082247257232666
0.048215802758932114,0.1705932319164276,0.5081875324249268
0.04821508750319481,0.17059068381786346,0.5081799626350403
0.04821215569972992,0.17058031260967255,0.5081490874290466
0.04821342974901199,0.17058482766151428,0.5081624984741211
0.048214543610811234,0.17058876156806946,0.5081742405891418
0.0482131689786911,0.17058390378952026,0.5081597566604614
0.048216018825769424,0.1705939918756485,0.5081897974014282
0.04821731895208359,0.1705985814332962,0.5082035064697266
0.04821781814098358,0.17060033977031708,0.5082087516784668
0.048217400908470154,0.17059887945652008,0.5082043409347534
0.04821472987532616,0.17058943212032318,0.5081762075424194
0.04821532964706421,0.1705915480852127,0.5081825256347656
0.048217177391052246,0.1705980896949768,0.5082020163536072
0.04821563512086868,0.17059263586997986,0.5081857442855835
0.04821684956550598,0.1705969274044037,0.5081985592842102
0.04821936413645744,0.1706058382987976,0.5082250833511353
0.048219792544841766,0.17060735821723938,0.5082296133041382
0.04821895435452461,0.1706043779850006,0.5082207322120667
0.048219770193099976,0.17060725390911102,0.5082293152809143
0.048219501972198486,0.1706063151359558,0.5082265138626099
0.04814966022968292,0.16939105093479156,0.5074903964996338
0.04814983531832695,0.1693916618824005,0.5074922442436218
0.04821889102458954,0.1706041544675827,0.5082200765609741
0.04814959317445755,0.16939079761505127,0.5074896812438965
0.04821642115712166,0.17059540748596191,0.5081940293312073
0.048216093331575394,0.1705942451953888,0.5081905722618103
0.048215966671705246,0.17059381306171417,0.5081892609596252
0.04821448400616646,0.17058856785297394,0.5081736445426941
0.04821499437093735,0.1705903559923172,0.5081790089607239
0.048215802758932114,0.1705932319164276,0.5081875324249268
0.04821521043777466,0.17059113085269928,0.5081812739372253
0.048216331750154495,0.17059509456157684,0.5081930756568909
0.04821663722395897,0.1705961674451828,0.5081962943077087
0.04821579158306122,0.17059318721294403,0.5081874132156372
0.048215821385383606,0.1705932915210724,0.5081877112388611
0.048218484967947006,0.1706027239561081,0.5082157850265503
0.04821621626615524,0.17059467732906342,0.5081918835639954
0.048215728253126144,0.17059296369552612,0.5081867575645447
0.048147041350603104,0.16938184201717377,0.5074627995491028
0.048216402530670166,0.17059534788131714,0.508193850517273
0.04821539670228958,0.1705917865037918,0.5081832408905029
0.048215147107839584,0.17059090733528137,0.5081806182861328
0.04821372032165527,0.17058587074279785,0.5081655979156494
0.04821500554680824,0.17059040069580078,0.5081791281700134
0.04821594059467316,0.17059370875358582,0.5081889629364014
0.04821480065584183,0.17058968544006348,0.5081769824028015
0.04821699112653732,0.17059743404388428,0.5082000494003296
0.04821585491299629,0.17059341073036194,0.5081880688667297
0.04821678251028061,0.17059668898582458,0.5081978440284729
0.04821686074137688,0.17059697210788727,0.5081986784934998
0.0482182614505291,0.17060193419456482,0.508213460445404
0.04821642488241196,0.1705954223871231,0.508194088935852
0.048216562718153,0.1705959141254425,0.5081955194473267
0.04821748659014702,0.17059919238090515,0.5082052946090698
0.04814844951033592,0.16938678920269012,0.5074776411056519
0.04814817011356354,0.16938579082489014,0.5074746608734131
0.048217982053756714,0.17060092091560364,0.5082104802131653
0.04821701720356941,0.17059753835201263,0.5082003474235535
0.048219263553619385,0.17060546576976776,0.5082240104675293
0.04821759834885597,0.17059959471225739,0.5082064867019653
0.048217687755823135,0.17059989273548126,0.508207380771637
0.04821713641285896,0.17059794068336487,0.5082015991210938
0.04821808263659477,0.17060129344463348,0.5082115530967712
0.048218365758657455,0.17060229182243347,0.50821453332901
0.04821830242872238,0.17060208320617676,0.5082138776779175
0.04821935296058655,0.17060579359531403,0.5082249641418457
