timestamp,master_force,master_torque,slave_force,slave_torque,master_fx,master_fy,master_fz,master_mx,master_my,master_mz,slave_fx,slave_fy,slave_fz,slave_mx,slave_my,slave_mz,object_mode,warning_level
1754928558.60038,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,False,0
1754928558.689766,14.061610103661923,0.6016045535059203,9.286354518920756,0.7585666314906517,-2.2525968761377526,-1.3241289024346754,13.816706144040216,-0.2831935030728544,0.5093029139597975,0.14946578353737686,-4.97294038343815,-5.199496749284043,5.871241584880889,0.11925485446354575,0.6932325290908985,0.28395470538131495,False,0
1754928558.7464352,13.935331032906381,0.5919183395319588,9.166267601713406,0.762639171269363,-2.3207274226999255,-1.6636331027120597,13.639648093912571,-0.2770880458356173,0.5026683435449152,0.14461698353610225,-5.044654742512057,-5.213804552990349,5.602513932003074,0.12757758938168273,0.695388407762189,0.285967527163395,False,0
1754928558.800014,14.117653575040343,0.5983537937987357,9.21801524145437,0.7598985238022904,-2.503880597703361,-1.3422563618754997,13.828849275203586,-0.28027109580948584,0.5097559581995494,0.14008653927893655,-5.123042735782088,-5.289716063043761,5.544830213037392,0.12569401521180096,0.6933137929333973,0.2845395676266165,False,0
1754928558.8550231,13.872394453290417,0.5965580666738276,9.047993071456885,0.7600459619856671,-2.2633410567363343,-1.2783395940951938,13.626682025010451,-0.2770723058313644,0.5089030536977611,0.14188074637525513,-4.857201139118526,-5.1403515762369265,5.643630160451341,0.12774489877783707,0.6932367830956909,0.28420743785146824,False,0
1754928558.910047,13.93272873558586,0.5954803477266384,9.266278070281661,0.7597846210455964,-2.577902072543977,-1.4354981267829323,13.616706505311633,-0.27856448529059297,0.5072804696900844,0.14023265359548898,-5.020025908601372,-5.218875050685951,5.781573519214427,0.1268956549027191,0.6921081509071035,0.2866295005615447,False,0
1754928558.965078,13.980550639469774,0.6003295629010821,8.976342261943465,0.7638743280288873,-2.2833108208011854,-1.30222682974388,13.731223294458733,-0.27761905985690083,0.5114318877295925,0.14751496842869993,-4.5471338008846125,-5.331307248196285,5.610299245649443,0.12404835995381655,0.6930943243177393,0.2962030570620244,False,0
1754928559.01699,14.005581533335707,0.5957225734361011,9.028294115127073,0.7623076686916059,-2.738392425730654,-1.4457863900553451,13.658961260796733,-0.2766259241020813,0.5104408251480989,0.13346777378127062,-4.788582486104001,-5.296809521967032,5.524796945681853,0.13096876335431237,0.6920470578279734,0.291600813653047,False,0
1754928559.0689678,14.213632889281207,0.5992860814146929,9.165754867270028,0.7597865848430996,-2.248973819026896,-1.6461579064060454,13.937705722957595,-0.2818905792593263,0.5086554678844323,0.14474502994399718,-5.038902938206229,-5.1387233722509364,5.675741499549005,0.12660087828752864,0.6936558700738248,0.28300071737805205,False,0
1754928559.1202319,14.304150049050627,0.5933391627513193,9.209811195603203,0.7598915862951906,-2.4801344147392537,-1.6612714798149721,13.989203657854667,-0.2837809071338064,0.5023937027809406,0.13827626769191567,-5.057123763893583,-5.182444991800855,5.691079458440123,0.12618880554396017,0.6932688642726258,0.284411480267153,False,0
1754928559.1710029,14.228279061926425,0.5956619452540902,9.016264548668328,0.7583647665691762,-2.4454563325943326,-1.6028616685590147,13.924600635597864,-0.2827265300887549,0.5052777318146655,0.13990452437318096,-4.971404426074638,-5.297229407922899,5.340180244506321,0.13160890196695307,0.6879300571948157,0.2907721659727969,False,0
1754928559.223609,14.16833655835822,0.5908068667173999,9.223931725194989,0.7645182081139547,-2.2327621648310934,-1.6670906475456508,13.891628512131854,-0.2772766893148374,0.5015496351934777,0.14359092854468222,-5.078637403501714,-5.35156078602548,5.53616796604712,0.12711989930756695,0.6976721214985471,0.285626036315884,False,0
1754928559.276751,13.898580161706402,0.5947426210728749,9.144826881275828,0.7652440988399892,-2.1732670751936887,-1.6905122631692262,13.623127725281456,-0.2776130342048473,0.504997103534907,0.14706363922318103,-5.033068771419083,-5.154376023536887,5.632804384909797,0.12329593374416087,0.6993763851010298,0.2850777358802309,False,0
1754928559.331773,13.774030513569654,0.5977021565202472,9.006446764829878,0.7582829559388762,-2.1210507197822976,-1.7929281968385702,13.491125561414071,-0.27898899390494386,0.5092148367538217,0.14182122273707806,-5.1565575499048695,-5.0111037881701,5.423544633025614,0.13257730097842302,0.6913523813476286,0.2818655447862324,False,0
1754928559.384942,14.070749017520757,0.5947801960858374,9.191366851720744,0.7634410393983027,-2.114274953008163,-1.6423764605961133,13.813704025308471,-0.2850400505658742,0.5018961780022169,0.14358230300450722,-4.8461374010824265,-5.401948595331124,5.640490073224229,0.12353295675888565,0.694413950750208,0.2921833229933834,False,0
1754928559.439641,14.200154175748786,0.5955188628751016,9.254409137457113,0.7626845431984611,-2.300307379491525,-1.6513695204334637,13.91495394465522,-0.28196725484245405,0.5048871952366977,0.14221850555636323,-5.016348785791536,-5.265690356750229,5.723009558751858,0.12562578563041923,0.6960644108886944,0.28530722092642513,False,0
