Test_ID,Time_s,TCP_X,TCP_Y,TCP_Z,Force_X,Force_Y,Force_Z,Target_X,Target_Y,Status
1,0.0033478736877441406,0.044966195366958325,-0.5775722252418544,0.07797348915428726,2.0579853458471993,27.519556855318978,33.681796258549255,0.044606278303512395,-0.5728347916982148,FAILED
2,0.0035097599029541016,0.04691687357025678,-0.5769662531422252,0.077909574807812,-5.307633888983707,24.858772313811894,37.6257458925007,0.04661131089334747,-0.5722271147155188,FAILED
3,0.00443720817565918,0.04605413191535721,-0.5773427683108817,0.07795636353044452,-2.408566780636388,27.66434691781419,35.554070240495975,0.045719503082158046,-0.5726201288753979,FAILED
4,0.004408836364746094,0.04634309703059735,-0.5774102924207948,0.07775258864337681,-4.393253284225004,28.14612640122658,40.62559469026308,0.04604136859484281,-0.5726913334251055,FAILED
5,0.0044231414794921875,0.045236292338084516,-0.5773874165176278,0.07795094777419395,-0.19715323711675542,24.783022327324186,31.81494305157991,0.04484143351576808,-0.5726371762189492,FAILED
6,0.005482196807861328,0.04780484969157971,-0.5773654291200209,0.07773235945058529,-7.895460868166683,29.92340170038642,45.033288589980266,0.04764672920184205,-0.5726899281513913,FAILED
7,0.0044596195220947266,0.0440707136799745,-0.5771448285243547,0.07659981323413612,6.992780213487311,25.261473915110464,19.871088138686833,0.04359038878610605,-0.5723615964650647,FAILED
7,0.018334150314331055,0.044016556840342946,-0.5771776960005222,0.07495043563458093,6.264937591650857,26.25898840543366,25.59631197232762,0.04359038878610605,-0.5723615964650647,FAILED
8,0.004460573196411133,0.04525345196763689,-0.5772387209666534,0.077385999798739,-1.8904881841254804,25.98341471783144,23.756747333963816,0.044864241570205514,-0.5724861324919002,FAILED
9,0.0033111572265625,0.04554882970243598,-0.5772566889909536,0.0779014947281898,-2.5298169347087365,26.088787112603328,30.822058419449053,0.04516843729538678,-0.5725178693518699,FAILED
10,0.003354787826538086,0.04717950583278258,-0.5773323958574751,0.07730429066630098,-5.373162984942362,28.605085925813256,44.68593494520425,0.046987542704508646,-0.5726086270547648,FAILED
11,0.003315448760986328,0.04571030342189269,-0.5765361517532613,0.07773159657056808,1.684468690081236,18.960041009063723,19.783217760667082,0.04525408250383854,-0.5717666096940778,FAILED
11,0.01714634895324707,0.045672418943661884,-0.5765967901178017,0.07610479706279558,1.8765994083655833,20.580723310438966,23.373777484878133,0.04525408250383854,-0.5717666096940778,FAILED
12,0.0034723281860351562,0.04456428004497786,-0.5774027027891274,0.07793048673976954,0.7445763971142899,24.08387869588173,28.4815218243784,0.044132999202453914,-0.5726632018930586,FAILED
13,0.0034570693969726562,0.044499022513572385,-0.5774217245742536,0.07796190880105297,1.039976125653413,22.655319749616446,29.15345175113309,0.044077937234500424,-0.5726555350391552,FAILED
