Test_ID,Time_s,Phase,World_X,World_Y,World_Z,Force_Mag_N,Force_X_N,Force_Y_N,Force_Z_N,Torque_X_Nm,Torque_Y_Nm,Torque_Z_Nm,TCP_X,TCP_Y,TCP_Z,TCP_Rx,TCP_Ry,TCP_Rz,Rod_Length_m
Run_0615_223859,6.194632053375244,Phase_0_Cal_Plunge,0.08069237524249717,-0.5993757120277073,0.3009259391102184,0.3488243731163727,-0.08886762157804559,-0.08916682446558805,0.32531564138512414,-0.0009911598576115115,0.020335300442243853,-0.00965854225982094,-0.1557286464557463,-0.5993757120277073,0.2698448979037848,-1.7557342536327962,-1.7593006362197865,0.7330481921511187,0.18809284344401084
Run_0615_223859,6.2959065437316895,Phase_0_Cal_Plunge,0.08086215333088148,-0.5994261385605769,0.29848577062530923,1.8551791434574947,-0.5765947897027656,-0.3499584981245857,1.7282236985985617,0.02783684328043534,0.10268624456773316,-0.02139254926444081,-0.15388313553523586,-0.5994261385605769,0.2682394894584612,-1.7557140969942757,-1.7595319336441027,0.7332783332060021,0.18809284344401084
Run_0615_223859,6.397303342819214,Phase_0_Cal_Plunge,0.08074234072256264,-0.5993716654427859,0.29344065346256276,0.532294068676902,-0.11677912520140149,-0.5053167475078416,0.11981066794698268,0.030905599826845574,-0.009223764621593897,-0.00838703044111056,-0.15040041928539108,-0.5993716654427859,0.26458733259298867,-1.755734873886951,-1.7593900448105677,0.7330421312050054,0.18809284344401084
Run_0615_223859,6.499428987503052,Phase_0_Cal_Plunge,0.08072569408401767,-0.5993786922805163,0.28833320281721286,0.945301928136927,-0.5219924527770926,-0.6100914163956872,0.49890688331937355,0.020974288481697596,0.02797982845607877,-0.020822571506135278,-0.14680067725048768,-0.5993786922805163,0.260964048656087,-1.7556849659103808,-1.759407503391539,0.7330353025964456,0.18809284344401084
Run_0615_223859,6.600061416625977,Phase_0_Cal_Plunge,0.08072925248168228,-0.5993898044828222,0.28332201505434645,0.5108215275666342,-0.34225843992979427,-0.21986717209319628,0.30895990024285336,0.01828385864942256,0.006801570779211183,-0.015797720602975594,-0.14325471623444702,-0.5993898044828222,0.25742311997428396,-1.7557188128873475,-1.7593986346364203,0.7330746043304229,0.18809284344401084
Run_0615_223859,6.701966047286987,Phase_0_Cal_Plunge,0.08069829425062454,-0.5993646296312417,0.2782621574847712,0.5980092761792997,-0.4174670549852619,-0.36725061136519327,0.22014390940999032,0.024849120207036637,0.01689679511038139,-0.010084551884368754,-0.1396987474102767,-0.5993646296312417,0.2538233695998847,-1.7558336625540902,-1.7593131295471334,0.7330472162462467,0.18809284344401084
Run_0615_223859,6.803400278091431,Phase_0_Cal_Plunge,0.08071864775411944,-0.5993780492409188,0.27313876212878196,0.4079889505653799,-0.1557993710930343,-0.25461156099927873,0.27812675663439074,0.02393967081231246,0.009329608945098237,-0.016148184298070713,-0.1360615677110149,-0.5993780492409188,0.2502149741013072,-1.7557427544317286,-1.759335374522002,0.7330726716865168,0.18809284344401084
Run_0615_223859,6.9049131870269775,Phase_0_Cal_Plunge,0.08072488817458824,-0.5993604619478567,0.26802711688010106,0.770030099073765,-0.27271710936441035,-0.21774742812467568,0.6864093452777007,0.014665676402464934,0.01277013772041642,-0.017000007121709754,-0.1324426760490217,-0.5993604619478567,0.24660490772657592,-1.7556805489927807,-1.7593877079897415,0.7330518315082531,0.18809284344401084
Run_0615_223859,7.005752086639404,Phase_0_Cal_Plunge,0.08065899056227965,-0.5993766430625255,0.26301981951733855,0.7597218396112213,-0.17371783101598362,-0.426180755569069,0.604457899569472,0.016555633892114223,0.00469235630733655,-0.011729468149389128,-0.12894857877692223,-0.5993766430625255,0.24301761715742162,-1.7557144064715267,-1.7593036119672363,0.7329651478886584,0.18809284344401084
Run_0615_223859,7.10713267326355,Phase_0_Cal_Plunge,0.08069463389239136,-0.599399347987709,0.25796075147585756,0.6661747848098675,-0.09612871338094943,-0.38703123791875327,0.5336243390769145,0.022101855568876467,0.02228884831820351,-0.0048236467941305036,-0.12534607381788082,-0.599399347987709,0.23946551947923234,-1.755761113431802,-1.759260100154697,0.7331090279293527,0.18809284344401084
Run_0615_223859,7.207528591156006,Phase_0_Cal_Plunge,0.08067990225996045,-0.5993773860528936,0.25293901687663767,0.6388018746998793,-0.5484002471146238,-0.13873020795885155,0.29678095202420535,0.018123030865107376,0.02438923915837976,-0.016247102213333937,-0.12180558806664318,-0.5993773860528936,0.235904200053615,-1.7557396509519192,-1.7593336220115385,0.7329978056916944,0.18809284344401084
Run_0615_223859,7.309691429138184,Phase_0_Cal_Plunge,0.08072595104414923,-0.5993761027515341,0.24786210077878268,0.6103382795912349,-0.17084093615762613,-0.5028116151958767,0.30084326432760294,0.011979220089103682,0.000918706060537428,0.003939480745387599,-0.11818310485876947,-0.5993761027515341,0.23234683966087186,-1.7557149381753396,-1.7593495599101339,0.7331040174037506,0.18809284344401084
